# OS Name | Device Class | Device Name | Brand
ASPLinux|Desktop|Linux Desktop|Unknown
CentOS|Desktop|Linux Desktop|Unknown
Debian|Desktop|Linux Desktop|Unknown
Debian GNU|Desktop|Linux Desktop|Unknown
Fedora|Desktop|Linux Desktop|Unknown
FoxOS|Desktop|Linux Desktop|Unknown
Joli OS|Desktop|Linux Desktop|Unknown
JoliCloud|Desktop|Linux Desktop|Unknown
Linpus|Desktop|Linux Desktop|Unknown
Linspire|Desktop|Linux Desktop|Unknown
Mandriva|Desktop|Linux Desktop|Unknown
Mint|Desktop|Linux Desktop|Unknown
Linux Mint|Desktop|Linux Desktop|Unknown
Edition Linux Mint|Desktop|Linux Desktop|Unknown
Moblin|Desktop|Linux Desktop|Unknown
Namoroka|Desktop|Linux Desktop|Unknown
NaverBot|Desktop|Linux Desktop|Unknown
PCLinuxOS|Desktop|Linux Desktop|Unknown
Slackware|Desktop|Linux Desktop|Unknown
SUSE|Desktop|Linux Desktop|Unknown
Ubuntu|Desktop|Linux Desktop|Unknown
Kubuntu|Desktop|Linux Desktop|Unknown
Xubuntu|Desktop|Linux Desktop|Unknown
Yoper|Desktop|Linux Desktop|Unknown

SunOS|Desktop|Sun Desktop|Sun Microsystems
Solaris|Desktop|Linux Desktop|Sun Microsystems
illumOS|Desktop|OpenSolaris Desktop|Unknown

MeeGo|Mobile|MeeGo Device|Nokia
PalmSource|Mobile|PalmOS PDA|Palm

SymbianOS|Phone|SymbianOS Phone|Nokia

FreeBSD|Desktop|FreeBSD Desktop|Unknown
NetBSD|Desktop|NetBSD Desktop|Unknown
OpenBSD|Desktop|OpenBSD Desktop|Unknown
