# Some brands make a total mess out of the tags they use for the various device types.

#Tag            | Name            | Brand  | Class
Lenovo A7600-H  | Lenovo A7600-H  | Lenovo | Tablet
Lenovo A3500-H  | Lenovo A3500-H  | Lenovo | Tablet
Lenovo A3500-FL | Lenovo A3500-FL | Lenovo | Tablet
Lenovo A3500-H  | Lenovo A3500-H  | Lenovo | Tablet
Lenovo A3500-FL | Lenovo A3500-FL | Lenovo | Tablet
Lenovo A5500-F  | Lenovo A5500-F  | Lenovo | Tablet
Lenovo A7600-F  | Lenovo A7600-F  | Lenovo | Tablet
Lenovo A7600-H  | Lenovo A7600-H  | Lenovo | Tablet
Lenovo B6000-F  | Lenovo B6000-F  | Lenovo | Tablet
Lenovo B8000-F  | Lenovo B8000-F  | Lenovo | Tablet
Lenovo B8000-H  | Lenovo B8000-H  | Lenovo | Tablet
Lenovo B8080-F  | Lenovo B8080-F  | Lenovo | Tablet
Lenovo S6000L-F | Lenovo S6000L-F | Lenovo | Tablet

PlayBook        | BlackBerry PlayBook | BlackBerry | Tablet
